x,y,z,cp
1.128217e-01,4.235574e-02,4.311001e+00,-6.320605e-01
1.467894e-01,3.918301e-02,4.311004e+00,-4.228325e-01
1.781797e-01,3.605987e-02,4.311007e+00,-2.931271e-01
2.062224e-01,3.313904e-02,4.311010e+00,-2.201243e-01
2.305731e-01,3.039010e-02,4.311012e+00,-1.506664e-01
2.512278e-01,2.773262e-02,4.311014e+00,-7.291100e-02
2.684010e-01,2.512806e-02,4.311016e+00,7.318467e-03
2.824518e-01,2.270629e-02,4.311018e+00,1.240988e-01
2.938311e-01,2.076550e-02,4.311019e+00,1.809384e-01
3.051420e-01,2.206358e-02,4.149662e+00,4.324815e-01
2.937387e-01,2.179326e-02,4.149670e+00,4.277881e-01
2.796975e-01,2.056197e-02,4.149679e+00,4.237775e-01
2.626417e-01,1.808393e-02,4.149691e+00,4.096391e-01
2.422695e-01,1.403305e-02,4.149705e+00,3.779943e-01
2.184393e-01,8.045016e-03,4.149721e+00,3.383550e-01
1.912451e-01,-1.199548e-04,4.149739e+00,2.809616e-01
1.611153e-01,-1.046071e-02,4.149760e+00,1.801606e-01
1.287204e-01,-2.241824e-02,4.149782e+00,1.984196e-02
9.466811e-02,-3.431704e-02,4.149806e+00,-1.944488e-01
5.944910e-02,-4.324629e-02,4.149829e+00,-3.447110e-01
2.434599e-02,-4.724087e-02,4.149851e+00,-2.985897e-01
-8.576457e-03,-4.679077e-02,4.149871e+00,-1.131062e-01
-3.781077e-02,-4.359068e-02,4.149889e+00,9.938210e-02
-6.276935e-02,-3.903406e-02,4.149905e+00,3.073928e-01
-8.346591e-02,-3.387964e-02,4.149918e+00,5.140492e-01
-1.002440e-01,-2.862944e-02,4.149929e+00,7.124655e-01
-1.135858e-01,-2.351604e-02,4.149939e+00,8.947120e-01
-1.239412e-01,-1.848687e-02,4.149946e+00,1.001497e+00
-1.306818e-01,-1.269729e-02,4.149952e+00,-2.141174e-01
-1.310183e-01,-6.731423e-03,4.149951e+00,-4.293620e+00
-1.256284e-01,-1.393413e-03,4.149946e+00,-2.217174e+00
-1.172567e-01,3.958093e-03,4.149938e+00,-1.772838e+00
-1.058775e-01,9.561960e-03,4.149929e+00,-1.489017e+00
-9.114092e-02,1.553592e-02,4.149918e+00,-1.337116e+00
-7.260326e-02,2.184451e-02,4.149905e+00,-1.230909e+00
